filename,width,height,class,xmin,ymin,xmax,ymax
000.jpg,2560,1920,normal_cell,6,815,51,870
000.jpg,2560,1920,normal_cell,760,1871,817,1920
000.jpg,2560,1920,normal_cell,1485,1704,1524,1739
000.jpg,2560,1920,normal_cell,1561,1795,1653,1868
000.jpg,2560,1920,normal_cell,2047,1562,2093,1610
000.jpg,2560,1920,normal_cell,2088,1533,2130,1584
000.jpg,2560,1920,normal_cell,2020,1622,2058,1664
000.jpg,2560,1920,normal_cell,2057,1630,2097,1678
000.jpg,2560,1920,normal_cell,1983,1697,2013,1756
000.jpg,2560,1920,normal_cell,2106,1753,2160,1807
000.jpg,2560,1920,normal_cell,2215,1791,2266,1850
000.jpg,2560,1920,normal_cell,2455,1692,2496,1749
000.jpg,2560,1920,normal_cell,1565,1,1618,32
000.jpg,2560,1920,normal_cell,1678,47,1739,98
000.jpg,2560,1920,normal_cell,2019,23,2089,60
000.jpg,2560,1920,normal_cell,2038,81,2076,112
000.jpg,2560,1920,normal_cell,2141,133,2192,219
001.jpg,2560,1920,normal_cell,53,384,102,445
001.jpg,2560,1920,normal_cell,66,523,144,563
001.jpg,2560,1920,normal_cell,10,799,80,860
001.jpg,2560,1920,normal_cell,353,887,397,960
001.jpg,2560,1920,normal_cell,415,928,458,979
001.jpg,2560,1920,normal_cell,76,1163,120,1226
001.jpg,2560,1920,normal_cell,368,1226,405,1280
001.jpg,2560,1920,normal_cell,634,1343,708,1384
001.jpg,2560,1920,normal_cell,524,1533,581,1588
001.jpg,2560,1920,normal_cell,444,1687,493,1735
001.jpg,2560,1920,normal_cell,769,1882,826,1920
001.jpg,2560,1920,normal_cell,995,1284,1058,1346
001.jpg,2560,1920,normal_cell,1185,1545,1232,1580
001.jpg,2560,1920,normal_cell,1234,1533,1278,1574
001.jpg,2560,1920,normal_cell,1426,1543,1480,1605
001.jpg,2560,1920,normal_cell,1485,1704,1534,1757
001.jpg,2560,1920,normal_cell,1588,1821,1627,1855
001.jpg,2560,1920,normal_cell,1581,1533,1622,1575
001.jpg,2560,1920,normal_cell,1783,1470,1822,1528
001.jpg,2560,1920,normal_cell,1971,1345,2012,1406
001.jpg,2560,1920,normal_cell,2178,1348,2225,1391
001.jpg,2560,1920,normal_cell,1968,1706,2002,1758
001.jpg,2560,1920,normal_cell,2041,1650,2075,1696
001.jpg,2560,1920,normal_cell,2013,1623,2043,1670
001.jpg,2560,1920,normal_cell,2044,1574,2075,1605
001.jpg,2560,1920,normal_cell,2085,1547,2112,1585
001.jpg,2560,1920,normal_cell,2118,1748,2168,1793
001.jpg,2560,1920,normal_cell,2219,1802,2260,1841
001.jpg,2560,1920,normal_cell,2426,1703,2466,1749
001.jpg,2560,1920,normal_cell,2143,1114,2179,1153
001.jpg,2560,1920,normal_cell,2210,1134,2260,1158
001.jpg,2560,1920,normal_cell,2292,1033,2336,1090
001.jpg,2560,1920,normal_cell,2485,1084,2539,1125
001.jpg,2560,1920,normal_cell,2176,711,2220,755
001.jpg,2560,1920,normal_cell,1907,901,1939,947
001.jpg,2560,1920,normal_cell,1662,1005,1706,1045
001.jpg,2560,1920,normal_cell,1576,806,1617,846
001.jpg,2560,1920,normal_cell,1444,835,1489,869
001.jpg,2560,1920,normal_cell,1516,634,1559,670
001.jpg,2560,1920,normal_cell,1584,661,1620,692
001.jpg,2560,1920,normal_cell,1656,643,1694,685
001.jpg,2560,1920,normal_cell,2136,530,2182,567
001.jpg,2560,1920,normal_cell,2197,526,2236,560
001.jpg,2560,1920,normal_cell,2201,571,2234,604
001.jpg,2560,1920,normal_cell,1476,458,1531,500
001.jpg,2560,1920,normal_cell,1932,307,1971,343
001.jpg,2560,1920,normal_cell,2039,94,2074,124
001.jpg,2560,1920,normal_cell,2024,48,2103,86
001.jpg,2560,1920,normal_cell,2137,147,2171,199
001.jpg,2560,1920,normal_cell,1571,1,1613,32
001.jpg,2560,1920,normal_cell,1693,55,1742,100
001.jpg,2560,1920,normal_cell,1230,136,1266,179
001.jpg,2560,1920,normal_cell,656,362,717,401
001.jpg,2560,1920,normal_cell,751,16,793,61
001.jpg,2560,1920,normal_cell,822,23,863,65
001.jpg,2560,1920,normal_cell,1013,797,1059,841
001.jpg,2560,1920,normal_cell,1191,724,1239,776
001.jpg,2560,1920,normal_cell,1203,786,1264,835
001.jpg,2560,1920,normal_cell,1453,1411,1500,1452
001.jpg,2560,1920,normal_cell,1698,1246,1756,1309
001.jpg,2560,1920,normal_cell,1747,733,1778,774
001.jpg,2560,1920,normal_cell,1782,740,1815,783
002.jpg,2560,1920,normal_cell,1571,1514,1628,1574
002.jpg,2560,1920,normal_cell,49,393,104,447
002.jpg,2560,1920,normal_cell,63,506,137,555
002.jpg,2560,1920,normal_cell,19,790,115,861
002.jpg,2560,1920,normal_cell,352,899,385,964
002.jpg,2560,1920,normal_cell,406,928,462,980
002.jpg,2560,1920,normal_cell,73,1182,118,1230
002.jpg,2560,1920,normal_cell,366,1233,410,1283
002.jpg,2560,1920,normal_cell,639,1348,691,1375
002.jpg,2560,1920,normal_cell,508,1527,582,1596
002.jpg,2560,1920,normal_cell,452,1690,492,1734
002.jpg,2560,1920,normal_cell,767,1874,820,1920
002.jpg,2560,1920,normal_cell,994,1283,1040,1337
002.jpg,2560,1920,normal_cell,1166,1541,1204,1596
002.jpg,2560,1920,normal_cell,1220,1556,1281,1593
002.jpg,2560,1920,normal_cell,1424,1550,1474,1608
002.jpg,2560,1920,normal_cell,1485,1712,1528,1755
002.jpg,2560,1920,normal_cell,1548,1817,1631,1887
002.jpg,2560,1920,normal_cell,1452,1415,1497,1455
002.jpg,2560,1920,normal_cell,1015,794,1053,845
002.jpg,2560,1920,normal_cell,1184,720,1228,769
002.jpg,2560,1920,normal_cell,1213,783,1267,826
002.jpg,2560,1920,normal_cell,1427,836,1473,895
002.jpg,2560,1920,normal_cell,1571,803,1619,838
002.jpg,2560,1920,normal_cell,1742,736,1774,780
002.jpg,2560,1920,normal_cell,1777,746,1815,790
002.jpg,2560,1920,normal_cell,1529,619,1573,652
002.jpg,2560,1920,normal_cell,1585,661,1623,695
002.jpg,2560,1920,normal_cell,1656,635,1703,689
002.jpg,2560,1920,normal_cell,1476,471,1522,512
002.jpg,2560,1920,normal_cell,654,360,710,390
002.jpg,2560,1920,normal_cell,1228,126,1278,180
002.jpg,2560,1920,normal_cell,1552,3,1599,41
002.jpg,2560,1920,normal_cell,1691,57,1744,105
002.jpg,2560,1920,normal_cell,756,5,784,55
002.jpg,2560,1920,normal_cell,823,34,858,75
002.jpg,2560,1920,normal_cell,981,1,1022,23
002.jpg,2560,1920,normal_cell,1644,1017,1693,1056
002.jpg,2560,1920,normal_cell,1706,1247,1748,1304
002.jpg,2560,1920,normal_cell,1786,1478,1817,1527
002.jpg,2560,1920,normal_cell,1978,1356,2018,1402
002.jpg,2560,1920,normal_cell,1948,1700,1999,1767
002.jpg,2560,1920,normal_cell,2027,1665,2067,1708
002.jpg,2560,1920,normal_cell,2008,1630,2045,1671
002.jpg,2560,1920,normal_cell,2030,1565,2072,1607
002.jpg,2560,1920,normal_cell,2074,1539,2121,1599
002.jpg,2560,1920,normal_cell,2181,1357,2222,1389
002.jpg,2560,1920,normal_cell,2126,1744,2168,1797
002.jpg,2560,1920,normal_cell,1925,903,1956,953
002.jpg,2560,1920,normal_cell,2178,716,2212,760
002.jpg,2560,1920,normal_cell,2128,555,2188,589
002.jpg,2560,1920,normal_cell,1939,298,1981,326
002.jpg,2560,1920,normal_cell,2118,169,2153,212
002.jpg,2560,1920,normal_cell,2054,130,2087,157
002.jpg,2560,1920,normal_cell,2053,89,2141,125
002.jpg,2560,1920,normal_cell,2205,544,2256,578
002.jpg,2560,1920,normal_cell,2204,577,2247,616
002.jpg,2560,1920,normal_cell,2140,1113,2176,1156
002.jpg,2560,1920,normal_cell,2202,1131,2271,1162
002.jpg,2560,1920,normal_cell,2284,1018,2336,1101
002.jpg,2560,1920,normal_cell,2233,1794,2271,1833
002.jpg,2560,1920,normal_cell,2414,1702,2454,1753
002.jpg,2560,1920,normal_cell,2489,1078,2535,1131
002.jpg,2560,1920,normal_cell,2104,117,2136,134
003.jpg,2560,1920,normal_cell,975,1276,1020,1343
003.jpg,2560,1920,normal_cell,644,1353,699,1390
003.jpg,2560,1920,normal_cell,434,1684,499,1737
003.jpg,2560,1920,normal_cell,775,1878,811,1920
003.jpg,2560,1920,normal_cell,67,1174,118,1221
003.jpg,2560,1920,normal_cell,335,907,381,971
003.jpg,2560,1920,normal_cell,408,936,449,974
003.jpg,2560,1920,normal_cell,10,764,195,875
003.jpg,2560,1920,normal_cell,85,514,138,567
003.jpg,2560,1920,normal_cell,1,538,32,572
003.jpg,2560,1920,normal_cell,30,384,85,421
003.jpg,2560,1920,normal_cell,648,357,689,396
003.jpg,2560,1920,normal_cell,1003,799,1055,843
003.jpg,2560,1920,normal_cell,1197,771,1247,832
003.jpg,2560,1920,normal_cell,1171,706,1216,759
003.jpg,2560,1920,normal_cell,1480,467,1527,514
003.jpg,2560,1920,normal_cell,1538,612,1585,653
003.jpg,2560,1920,normal_cell,1585,665,1624,702
003.jpg,2560,1920,normal_cell,1658,642,1699,686
003.jpg,2560,1920,normal_cell,1435,828,1472,899
003.jpg,2560,1920,normal_cell,1581,794,1618,840
003.jpg,2560,1920,normal_cell,1743,721,1787,763
003.jpg,2560,1920,normal_cell,1783,747,1835,787
003.jpg,2560,1920,normal_cell,1635,1024,1700,1072
003.jpg,2560,1920,normal_cell,1695,1261,1738,1304
003.jpg,2560,1920,normal_cell,1766,1475,1820,1549
003.jpg,2560,1920,normal_cell,1451,1418,1501,1460
003.jpg,2560,1920,normal_cell,1138,1537,1171,1580
003.jpg,2560,1920,normal_cell,1185,1579,1222,1610
003.jpg,2560,1920,normal_cell,369,1235,403,1270
003.jpg,2560,1920,normal_cell,1945,894,1975,940
003.jpg,2560,1920,normal_cell,2139,1123,2174,1155
003.jpg,2560,1920,normal_cell,2213,1138,2264,1159
003.jpg,2560,1920,normal_cell,2181,1362,2218,1390
003.jpg,2560,1920,normal_cell,1982,1365,2016,1408
003.jpg,2560,1920,normal_cell,2027,1552,2065,1583
003.jpg,2560,1920,normal_cell,2082,1538,2120,1567
003.jpg,2560,1920,normal_cell,2015,1635,2041,1668
003.jpg,2560,1920,normal_cell,2022,1681,2049,1722
003.jpg,2560,1920,normal_cell,1950,1723,1978,1772
003.jpg,2560,1920,normal_cell,2128,1744,2170,1795
003.jpg,2560,1920,normal_cell,2238,1787,2281,1825
003.jpg,2560,1920,normal_cell,2401,1702,2432,1744
003.jpg,2560,1920,normal_cell,1481,1718,1519,1758
003.jpg,2560,1920,normal_cell,1433,1563,1466,1597
003.jpg,2560,1920,normal_cell,1563,1830,1615,1883
003.jpg,2560,1920,normal_cell,2165,716,2220,761
003.jpg,2560,1920,normal_cell,2099,580,2203,610
003.jpg,2560,1920,normal_cell,2213,566,2261,600
003.jpg,2560,1920,normal_cell,2205,602,2249,636
003.jpg,2560,1920,normal_cell,2282,1035,2333,1092
003.jpg,2560,1920,normal_cell,2494,1097,2531,1134
003.jpg,2560,1920,normal_cell,1947,277,1983,325
003.jpg,2560,1920,normal_cell,2093,175,2140,227
003.jpg,2560,1920,normal_cell,2041,149,2089,182
003.jpg,2560,1920,normal_cell,2102,135,2136,152
003.jpg,2560,1920,normal_cell,2074,110,2117,136
003.jpg,2560,1920,normal_cell,1226,139,1259,174
003.jpg,2560,1920,normal_cell,1538,16,1575,49
003.jpg,2560,1920,normal_cell,1697,60,1736,103
003.jpg,2560,1920,normal_cell,745,11,788,64
003.jpg,2560,1920,normal_cell,816,29,859,89
003.jpg,2560,1920,normal_cell,980,1,1020,37
003.jpg,2560,1920,normal_cell,1572,1511,1627,1549
003.jpg,2560,1920,normal_cell,1574,1546,1626,1583
004.jpg,2560,1920,normal_cell,1758,1469,1837,1547
004.jpg,2560,1920,normal_cell,54,761,210,890
004.jpg,2560,1920,normal_cell,342,916,377,971
004.jpg,2560,1920,normal_cell,414,938,448,971
004.jpg,2560,1920,normal_cell,374,1225,413,1267
004.jpg,2560,1920,normal_cell,69,1173,110,1223
004.jpg,2560,1920,normal_cell,645,1357,697,1396
004.jpg,2560,1920,normal_cell,438,1679,493,1734
004.jpg,2560,1920,normal_cell,314,1887,366,1920
004.jpg,2560,1920,normal_cell,759,1869,813,1920
004.jpg,2560,1920,normal_cell,1130,1522,1164,1561
004.jpg,2560,1920,normal_cell,1154,1595,1214,1648
004.jpg,2560,1920,normal_cell,964,1280,1019,1347
004.jpg,2560,1920,normal_cell,1454,1418,1493,1461
004.jpg,2560,1920,normal_cell,1429,1556,1472,1605
004.jpg,2560,1920,normal_cell,1481,1716,1529,1754
004.jpg,2560,1920,normal_cell,1556,1561,1599,1601
004.jpg,2560,1920,normal_cell,1568,1502,1600,1547
004.jpg,2560,1920,normal_cell,1696,1263,1739,1313
004.jpg,2560,1920,normal_cell,1988,1363,2029,1413
004.jpg,2560,1920,normal_cell,2086,1515,2143,1560
004.jpg,2560,1920,normal_cell,2013,1557,2069,1596
004.jpg,2560,1920,normal_cell,2012,1637,2051,1678
004.jpg,2560,1920,normal_cell,1931,1714,1981,1769
004.jpg,2560,1920,normal_cell,2016,1691,2041,1739
004.jpg,2560,1920,normal_cell,2122,1746,2164,1792
004.jpg,2560,1920,normal_cell,2242,1789,2290,1827
004.jpg,2560,1920,normal_cell,2188,1363,2229,1394
004.jpg,2560,1920,normal_cell,2137,1118,2169,1157
004.jpg,2560,1920,normal_cell,2204,1137,2270,1167
004.jpg,2560,1920,normal_cell,2290,1046,2329,1091
004.jpg,2560,1920,normal_cell,1625,1053,1688,1090
004.jpg,2560,1920,normal_cell,1941,891,1988,937
004.jpg,2560,1920,normal_cell,1450,819,1482,914
004.jpg,2560,1920,normal_cell,1579,789,1625,847
004.jpg,2560,1920,normal_cell,1738,727,1792,768
004.jpg,2560,1920,normal_cell,1801,756,1850,797
004.jpg,2560,1920,normal_cell,2178,730,2214,766
004.jpg,2560,1920,normal_cell,2128,614,2222,634
004.jpg,2560,1920,normal_cell,2231,637,2264,657
004.jpg,2560,1920,normal_cell,2246,584,2313,625
004.jpg,2560,1920,normal_cell,1583,669,1632,710
004.jpg,2560,1920,normal_cell,1660,623,1725,678
004.jpg,2560,1920,normal_cell,1564,610,1603,659
004.jpg,2560,1920,normal_cell,1483,473,1518,509
004.jpg,2560,1920,normal_cell,1152,686,1206,751
004.jpg,2560,1920,normal_cell,1179,758,1228,835
004.jpg,2560,1920,normal_cell,643,360,679,402
004.jpg,2560,1920,normal_cell,744,16,788,67
004.jpg,2560,1920,normal_cell,818,45,854,85
004.jpg,2560,1920,normal_cell,986,1,1023,28
004.jpg,2560,1920,normal_cell,1218,144,1260,184
004.jpg,2560,1920,normal_cell,1520,13,1572,49
004.jpg,2560,1920,normal_cell,1703,64,1746,110
004.jpg,2560,1920,normal_cell,2077,122,2120,157
004.jpg,2560,1920,normal_cell,2048,169,2093,207
004.jpg,2560,1920,normal_cell,2077,205,2130,259
004.jpg,2560,1920,normal_cell,1950,281,1985,325
004.jpg,2560,1920,normal_cell,1005,794,1042,832
004.jpg,2560,1920,normal_cell,1559,1844,1603,1882
004.jpg,2560,1920,normal_cell,116,503,168,558
004.jpg,2560,1920,normal_cell,4,514,64,544
004.jpg,2560,1920,normal_cell,3,368,61,406
004.jpg,2560,1920,normal_cell,2387,1693,2423,1744
004.jpg,2560,1920,normal_cell,2480,1110,2521,1151
005.jpg,2560,1920,normal_cell,101,792,187,880
005.jpg,2560,1920,normal_cell,54,1168,107,1223
005.jpg,2560,1920,normal_cell,373,1219,422,1270
005.jpg,2560,1920,normal_cell,639,1361,684,1390
005.jpg,2560,1920,normal_cell,448,1680,490,1731
005.jpg,2560,1920,normal_cell,342,1886,389,1920
005.jpg,2560,1920,normal_cell,770,1880,813,1920
005.jpg,2560,1920,normal_cell,1169,1626,1215,1668
005.jpg,2560,1920,normal_cell,1128,1502,1170,1542
005.jpg,2560,1920,normal_cell,1430,1557,1468,1606
005.jpg,2560,1920,normal_cell,1449,1415,1488,1453
005.jpg,2560,1920,normal_cell,1564,1489,1596,1538
005.jpg,2560,1920,normal_cell,1559,1567,1587,1612
005.jpg,2560,1920,normal_cell,1488,1705,1543,1745
005.jpg,2560,1920,normal_cell,1552,1851,1600,1890
005.jpg,2560,1920,normal_cell,1691,1276,1748,1313
005.jpg,2560,1920,normal_cell,1975,1360,2029,1411
005.jpg,2560,1920,normal_cell,2183,1358,2229,1395
005.jpg,2560,1920,normal_cell,2016,1563,2064,1592
005.jpg,2560,1920,normal_cell,2076,1528,2126,1569
005.jpg,2560,1920,normal_cell,2008,1644,2046,1682
005.jpg,2560,1920,normal_cell,2002,1702,2035,1752
005.jpg,2560,1920,normal_cell,1919,1722,1978,1778
005.jpg,2560,1920,normal_cell,2121,1736,2173,1782
005.jpg,2560,1920,normal_cell,2223,1787,2284,1838
005.jpg,2560,1920,normal_cell,2374,1685,2406,1748
005.jpg,2560,1920,normal_cell,2131,1111,2168,1160
005.jpg,2560,1920,normal_cell,2203,1139,2264,1163
005.jpg,2560,1920,normal_cell,2287,1040,2326,1097
005.jpg,2560,1920,normal_cell,2476,1123,2512,1155
005.jpg,2560,1920,normal_cell,1953,894,1998,931
005.jpg,2560,1920,normal_cell,1603,1060,1665,1107
005.jpg,2560,1920,normal_cell,1453,830,1479,912
005.jpg,2560,1920,normal_cell,1579,809,1613,847
005.jpg,2560,1920,normal_cell,1734,733,1777,776
005.jpg,2560,1920,normal_cell,1795,776,1875,836
005.jpg,2560,1920,normal_cell,1665,632,1721,685
005.jpg,2560,1920,normal_cell,1594,679,1636,716
005.jpg,2560,1920,normal_cell,1580,631,1622,665
005.jpg,2560,1920,normal_cell,1482,481,1518,511
005.jpg,2560,1920,normal_cell,2165,728,2221,788
005.jpg,2560,1920,normal_cell,2179,631,2266,687
005.jpg,2560,1920,normal_cell,2238,661,2295,700
005.jpg,2560,1920,normal_cell,2271,612,2343,672
005.jpg,2560,1920,normal_cell,1950,295,1982,331
005.jpg,2560,1920,normal_cell,2066,245,2112,290
005.jpg,2560,1920,normal_cell,2043,189,2090,226
005.jpg,2560,1920,normal_cell,2078,133,2125,193
005.jpg,2560,1920,normal_cell,646,362,680,395
005.jpg,2560,1920,normal_cell,1214,170,1317,208
005.jpg,2560,1920,normal_cell,1695,86,1758,119
005.jpg,2560,1920,normal_cell,1501,14,1562,55
005.jpg,2560,1920,normal_cell,740,13,804,75
005.jpg,2560,1920,normal_cell,819,55,856,105
005.jpg,2560,1920,normal_cell,978,1,1012,34
005.jpg,2560,1920,normal_cell,998,789,1043,829
005.jpg,2560,1920,normal_cell,1133,694,1170,747
005.jpg,2560,1920,normal_cell,1165,758,1202,828
005.jpg,2560,1920,normal_cell,336,928,373,980
005.jpg,2560,1920,normal_cell,417,938,458,978
005.jpg,2560,1920,normal_cell,25,506,66,539
005.jpg,2560,1920,normal_cell,116,498,175,554
005.jpg,2560,1920,normal_cell,968,1290,1023,1351
005.jpg,2560,1920,normal_cell,1765,1470,1823,1516
005.jpg,2560,1920,normal_cell,1783,1505,1833,1548
006.jpg,2560,1920,normal_cell,126,519,183,568
006.jpg,2560,1920,normal_cell,26,510,63,553
006.jpg,2560,1920,normal_cell,606,374,667,434
006.jpg,2560,1920,normal_cell,1125,700,1163,767
006.jpg,2560,1920,normal_cell,1004,785,1046,838
006.jpg,2560,1920,normal_cell,1137,789,1189,842
006.jpg,2560,1920,normal_cell,1476,478,1518,520
006.jpg,2560,1920,normal_cell,1584,621,1629,664
006.jpg,2560,1920,normal_cell,1668,634,1710,685
006.jpg,2560,1920,normal_cell,1593,683,1639,722
006.jpg,2560,1920,normal_cell,1709,724,1762,773
006.jpg,2560,1920,normal_cell,1803,793,1868,864
006.jpg,2560,1920,normal_cell,1577,796,1633,854
006.jpg,2560,1920,normal_cell,1435,883,1484,931
006.jpg,2560,1920,normal_cell,1599,1089,1670,1125
006.jpg,2560,1920,normal_cell,1696,1276,1745,1322
006.jpg,2560,1920,normal_cell,959,1298,1025,1358
006.jpg,2560,1920,normal_cell,1104,1480,1152,1528
006.jpg,2560,1920,normal_cell,323,929,377,987
006.jpg,2560,1920,normal_cell,406,934,453,983
006.jpg,2560,1920,normal_cell,361,1216,410,1267
006.jpg,2560,1920,normal_cell,629,1360,675,1393
006.jpg,2560,1920,normal_cell,461,1684,496,1727
006.jpg,2560,1920,normal_cell,341,1860,409,1912
006.jpg,2560,1920,normal_cell,780,1882,824,1920
006.jpg,2560,1920,normal_cell,1168,1665,1219,1709
006.jpg,2560,1920,normal_cell,1449,1422,1488,1463
006.jpg,2560,1920,normal_cell,1432,1566,1459,1608
006.jpg,2560,1920,normal_cell,1552,1479,1583,1538
006.jpg,2560,1920,normal_cell,1555,1586,1590,1632
006.jpg,2560,1920,normal_cell,1507,1703,1545,1740
006.jpg,2560,1920,normal_cell,1571,1861,1603,1893
006.jpg,2560,1920,normal_cell,1767,1473,1813,1521
006.jpg,2560,1920,normal_cell,1764,1518,1808,1557
006.jpg,2560,1920,normal_cell,2017,1545,2058,1583
006.jpg,2560,1920,normal_cell,2083,1500,2143,1550
006.jpg,2560,1920,normal_cell,2001,1640,2039,1690
006.jpg,2560,1920,normal_cell,1914,1741,1976,1787
006.jpg,2560,1920,normal_cell,1988,1716,2029,1758
006.jpg,2560,1920,normal_cell,2127,1741,2169,1789
006.jpg,2560,1920,normal_cell,2219,1802,2252,1845
006.jpg,2560,1920,normal_cell,2174,1356,2225,1404
006.jpg,2560,1920,normal_cell,1965,1354,2012,1401
006.jpg,2560,1920,normal_cell,2125,1109,2168,1157
006.jpg,2560,1920,normal_cell,2210,1140,2253,1163
006.jpg,2560,1920,normal_cell,2285,1042,2333,1106
006.jpg,2560,1920,normal_cell,1978,891,2021,947
006.jpg,2560,1920,normal_cell,2157,742,2224,800
006.jpg,2560,1920,normal_cell,2250,703,2292,727
006.jpg,2560,1920,normal_cell,2166,666,2280,708
006.jpg,2560,1920,normal_cell,2297,674,2330,705
006.jpg,2560,1920,normal_cell,120,821,241,924
006.jpg,2560,1920,normal_cell,62,1180,105,1221
006.jpg,2560,1920,normal_cell,296,3,338,28
006.jpg,2560,1920,normal_cell,747,16,799,73
006.jpg,2560,1920,normal_cell,816,65,854,112
006.jpg,2560,1920,normal_cell,982,1,1008,24
006.jpg,2560,1920,normal_cell,1223,173,1284,219
006.jpg,2560,1920,normal_cell,1487,23,1518,57
006.jpg,2560,1920,normal_cell,1722,99,1772,157
006.jpg,2560,1920,normal_cell,2027,204,2071,247
006.jpg,2560,1920,normal_cell,2052,143,2117,208
006.jpg,2560,1920,normal_cell,2046,253,2103,304
006.jpg,2560,1920,normal_cell,1934,299,1979,345
006.jpg,2560,1920,normal_cell,2474,1138,2517,1170
006.jpg,2560,1920,normal_cell,2367,1687,2409,1745
007.jpg,2560,1920,normal_cell,292,23,332,58
007.jpg,2560,1920,normal_cell,3,515,57,564
007.jpg,2560,1920,normal_cell,135,509,193,571
007.jpg,2560,1920,normal_cell,159,846,264,953
007.jpg,2560,1920,normal_cell,315,930,374,984
007.jpg,2560,1920,normal_cell,407,938,456,986
007.jpg,2560,1920,normal_cell,68,1174,100,1224
007.jpg,2560,1920,normal_cell,373,1204,412,1258
007.jpg,2560,1920,normal_cell,627,1357,678,1391
007.jpg,2560,1920,normal_cell,459,1674,508,1721
007.jpg,2560,1920,normal_cell,339,1823,407,1872
007.jpg,2560,1920,normal_cell,775,1880,824,1920
007.jpg,2560,1920,normal_cell,1164,1707,1217,1738
007.jpg,2560,1920,normal_cell,1083,1452,1154,1487
007.jpg,2560,1920,normal_cell,964,1304,1020,1360
007.jpg,2560,1920,normal_cell,1008,794,1042,841
007.jpg,2560,1920,normal_cell,1095,858,1178,912
007.jpg,2560,1920,normal_cell,1130,695,1179,755
007.jpg,2560,1920,normal_cell,1426,901,1490,943
007.jpg,2560,1920,normal_cell,615,375,646,427
007.jpg,2560,1920,normal_cell,1479,479,1522,523
007.jpg,2560,1920,normal_cell,1598,632,1642,669
007.jpg,2560,1920,normal_cell,1671,642,1714,689
007.jpg,2560,1920,normal_cell,1591,684,1639,726
007.jpg,2560,1920,normal_cell,1712,711,1765,752
007.jpg,2560,1920,normal_cell,1576,806,1630,851
007.jpg,2560,1920,normal_cell,1818,804,1859,880
007.jpg,2560,1920,normal_cell,1993,898,2046,961
007.jpg,2560,1920,normal_cell,1591,1125,1652,1160
007.jpg,2560,1920,normal_cell,1701,1273,1737,1317
007.jpg,2560,1920,normal_cell,1447,1426,1490,1465
007.jpg,2560,1920,normal_cell,1542,1446,1590,1482
007.jpg,2560,1920,normal_cell,1426,1562,1466,1607
007.jpg,2560,1920,normal_cell,1558,1653,1597,1688
007.jpg,2560,1920,normal_cell,1530,1704,1563,1753
007.jpg,2560,1920,normal_cell,1594,1859,1637,1906
007.jpg,2560,1920,normal_cell,1921,1755,1963,1797
007.jpg,2560,1920,normal_cell,1982,1731,2028,1769
007.jpg,2560,1920,normal_cell,2002,1639,2033,1689
007.jpg,2560,1920,normal_cell,2019,1540,2058,1579
007.jpg,2560,1920,normal_cell,2089,1519,2133,1550
